BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,X_COORD,Y_COORD
2015-BFN-0001561,"JTLHOP, LLC",4856 N CHAMBERS RD,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2015-03-23 00:00:00,2016-03-23 00:00:00,250805.0,4856 N Chambers Rd,None,Denver,CO,None,11,5,08303,3194554.0,1711769.0
2016-BFN-0002465,IL POSTO,2601 LARIMER ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-07-05 12:19:54,2019-07-12 00:00:00,43206.0,2601 Larimer St,None,Denver,CO,None,9,2,01600,3144705.0,1701682.0
2018-BFN-0006736,MILE HIGH SCENESTERS,1717 E 39TH AVE,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-10-10 15:48:56,2019-10-10 00:00:00,162607.0,1717 E 39th Ave,None,Denver,CO,None,9,2,03601,3149891.0,1706351.0
2004-BFN-1007861,WATSON'S WINE & SPIRITS,25 E 8TH AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-05-09 11:11:36,2019-05-28 00:00:00,None,None,None,None,None,None,10,6,02702,3144577.0,1691416.0
2006-BFN-1021851,ABC DISCOUNT LIQUOR,5600 W DARTMOUTH AVEUNIT 106 ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-10-30 15:51:32,2019-11-20 00:00:00,270082.0,5600 W Dartmouth Ave Unit 106,None,Denver,CO,None,2,4,11902,3124924.0,1663895.0
2014-BFN-1073539,CHOOK CHICKEN,1300 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2017-09-22 14:32:38.000001,2019-10-18 00:00:00,180859.0,1300 S Pearl St,None,Denver,CO,None,7,3,03001,3146262.0,1677659.0
2016-BFN-0005978,SYRUP,300 N JOSEPHINE ST 20 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-03-08 14:05:08,2020-02-13 00:00:00,353021.0,300 N Josephine St Unit 20,None,Denver,CO,None,10,3,03800,3152480.0,1688034.0
2013-BFN-1066888,HAMPTON INN & SUITES DENVER AIRPORT/GATEWAY PARK,4310 AIRPORT WAY,LIQUOR - LODGING AND ENTERTAINMENT,LICENSE ISSUED - ACTIVE,2019-03-27 09:57:49,2020-03-18 00:00:00,187993.0,4310 N Airport Way,None,Denver,CO,None,11,5,08303,3198146.0,1707824.0
2019-BFN-0002281,RUCKERS LLC,3729 WALNUT ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2019-03-28 00:00:00,2020-03-28 00:00:00,42112.0,3729 Walnut St,None,Denver,CO,None,9,2,01600,3148196.0,1705777.0
2003-BFN-1006084,CAFE BRAZIL,4408 LOWELL BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-03-11 07:14:51,2020-03-31 00:00:00,180105.0,4408 N Lowell Blvd,None,Denver,CO,None,1,1,00102,3130937.0,1708346.0
2002-BFN-97844,"CAPITOL HILL MANSION BED & BREAKFAST, INC",1207 N PENNSYLVANIA ST,LIQUOR - BED & BREAKFAST,LICENSE ISSUED - ACTIVE,2018-05-07 13:04:02,2019-03-12 00:00:00,66924.0,1207 N Pennsylvania St,None,Denver,CO,None,10,6,02701,3145844.0,1693150.0
2017-BFN-0004762,SNARF'S,1490 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-10-19 13:08:54,2019-09-25 00:00:00,104353.0,1490 S Broadway,None,Denver,CO,None,7,3,03001,3144335.0,1676491.0
2001-BFN-5764,POLISH CLUB OF DENVER,3121 W ALAMEDA AVE,LIQUOR - CLUB,LICENSE ISSUED - ACTIVE,2019-01-08 12:28:57,2019-12-28 00:00:00,246424.0,3121 W Alameda Ave,None,Denver,CO,None,3,4,00903,3133169.0,1684363.0
2005-BFN-1016835,CARMINE'S ON PENN,92 S PENNSYLVANIA ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-02-20 11:55:51.000001,2020-03-05 00:00:00,184992.0,92 S Pennsylvania St,None,Denver,CO,None,7,3,02802,3145913.0,1685723.0
2015-BFN-0005363,OFFICER'S CLUB,84 N RAMPART WAY,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-12-07 14:27:03,2019-12-08 00:00:00,461481.0,84 N Rampart Way,None,Denver,CO,None,5,3,04405,3169586.0,1687457.0
2007-BFN-1029541,CITRON BISTRO,3535 S YOSEMITE ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-03-04 09:46:49,2020-02-25 00:00:00,148929.0,3535 S Yosemite St,None,Denver,CO,None,4,3,06810,3173023.0,1663046.0
2017-BFN-0001995,KUNI,2752 WELTON ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-10-11 09:36:24,2019-09-11 00:00:00,352867.0,2752 Welton St,None,Denver,CO,None,9,2,02403,3147055.0,1700462.0
2018-BFN-0006812,THE CONSCIOUS ALLIANCE,2201 LAWRENCE ST,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-10-03 11:32:39,2019-10-03 00:00:00,54872.0,2201 Lawrence St,None,Denver,CO,None,9,6,01600,3143596.0,1700125.0
2018-BFN-0003720,POP INVESTMENTS INC.,1936 N PENNSYLVANIA ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2018-06-07 00:00:00,2019-06-07 00:00:00,166504.0,1936 N Pennsylvania St,None,Denver,CO,None,10,6,02602,3145958.0,1697233.0
2019-BFN-0001542,THE DENVER ART MUSEUM,100 W 14TH AVENUE PKWY,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2019-03-20 08:41:58,2020-03-20 00:00:00,188188.0,100 W 14th Avenue Pkwy,None,Denver,CO,None,10,6,02000,3143540.0,1694016.0
2001-BFN-63682,THE HORNET,76 BROADWAY ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2018-12-07 12:41:30,2019-12-11 00:00:00,353640.0,76 N Broadway,None,Denver,CO,None,7,3,02802,3144222.0,1686902.0
2012-BFN-1061806,WESTWOOD LIQUORS,4005 MORRISON RD,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-12-13 14:44:41,2019-12-10 00:00:00,222917.0,4005 Morrison Rd,None,Denver,CO,None,3,4,04501,3129417.0,1682520.0
2001-BFN-4402,THE VINEYARD INC,261 N FILLMORE ST,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2018-11-16 14:49:59,2019-12-31 00:00:00,84892.0,261 N Fillmore St,None,Denver,CO,None,10,3,03800,3153664.0,1687801.0
2007-BFN-1026561,FRANK'S LIQUOR,3420 W ALAMEDA AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-06-08 14:27:10.000001,2019-06-17 00:00:00,158174.0,3420 W Alameda Ave,None,Denver,CO,None,3,4,04502,3131770.0,1684164.0
2013-BFN-1065892,RED SQUARE EURO BISTRO,1512 LARIMER STUNIT 38R ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-05-31 10:27:34,2019-06-11 00:00:00,270123.0,1512 Larimer St Unit 38R,None,Denver,CO,None,9,6,01701,3141264.0,1697908.0
2014-BFN-0005407,7-ELEVEN STORE 33052B,1595 W 47TH AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2019-01-30 07:48:30,2020-02-08 00:00:00,168326.0,1595 W 47th Ave,None,Denver,CO,None,1,1,00202,3138856.0,1710224.0
2001-BFN-91336,KING'S LAND SEA FOOD,2200 W ALAMEDA AVE UNIT 44 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2018-12-07 12:54:35,2019-12-14 00:00:00,270005.0,2200 W Alameda Ave Unit 44,None,Denver,CO,None,7,4,01301,3136408.0,1683958.0
2017-BFN-0004171,JOY PHARMACY INC,1302 E 6TH AVE,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2017-06-09 00:00:00,2018-06-30 00:00:00,176428.0,1302 E 6th Ave,None,Denver,CO,None,10,3,03203,3148650.0,1689562.0
2002-BFN-51061,EMPRESS SEAFOOD RESTAURANT INC,2825 W ALAMEDA AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-08-20 09:58:05,2019-08-12 00:00:00,None,None,None,None,None,None,7,4,01000,3134151.0,1684381.0
2009-BFN-1040500,RED SEA RESTAURANT,5910 E COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-11-20 09:29:03,2019-11-01 00:00:00,185834.0,5910 E Colfax Ave,None,Denver,CO,None,5,2,04304,3163366.0,1694928.0
2015-BFN-0007817,CHUEY FU'S,1131 N SANTA FE DR,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-01-29 10:56:45,2020-02-02 00:00:00,68806.0,1131 N Santa Fe Dr,None,Denver,CO,None,3,1,01800,3140890.0,1692735.0
2002-BFN-62007,CHERRY CREEK GRILL,184 STEELE ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-08-23 15:10:41,2019-11-01 00:00:00,162252.0,184 N Steele St,None,Denver,CO,None,10,3,03800,3154824.0,1687243.0
2018-BFN-0004061,SPECTRA ART SPACE,1836 S BROADWAY ,LIQUOR - ART GALLERY PERMIT,LICENSE ISSUED - ACTIVE,2018-09-19 00:00:00,2019-06-26 00:00:00,105583.0,1836 S Broadway,None,Denver,CO,None,7,3,03001,3144329.0,1674156.0
2002-BFN-94502,CHIPOTLE MEXICAN GRILL #161,2760 S COLORADO BLVDUNIT M ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-07-09 11:15:25,2019-07-26 00:00:00,222472.0,2760 S Colorado Blvd,None,Denver,CO,None,4,3,04003,3157662.0,1668122.0
2015-BFN-0001407,BONNIE BRAE BEVERAGE INC. DBA BONNIE BRAE WINE & LIQUOR MART,785 S UNIVERSITY ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2015-03-12 00:00:00,2016-03-12 00:00:00,88878.0,785 S University Blvd,None,Denver,CO,None,6,3,03402,3152070.0,1681161.0
2018-BFN-0007728,MINDS MATTER OF DENVER INC,2750 BLAKE ST,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-11-06 09:21:20,2019-11-06 00:00:00,43186.0,2750 Blake St,None,Denver,CO,None,9,2,01600,3144869.0,1702609.0
2017-BFN-0004680,DOG HAUS BIERGARTEN,8316 E NORTHFIELD BLVDSUITE 1610 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-12-07 11:43:41,2019-11-27 00:00:00,32569380.0,8316 E Northfield Blvd Unit 1610,None,Denver,CO,None,8,5,04105,3171096.0,1709969.0
2014-BFN-1074695,FOUR FRIENDS KITCHEN,2893 N ROSLYN ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-12-26 09:30:14,2019-12-28 00:00:00,465880.0,2893 N Roslyn St,None,Denver,CO,None,8,5,04105,3168494.0,1701288.0
2003-BFN-1005206,BARRY'S ON BROADWAY LLC,58 N BROADWAY ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2019-03-27 07:35:25,2020-04-19 00:00:00,250803.0,58 N Broadway,None,Denver,CO,None,7,3,02802,3144223.0,1686708.0
2005-BFN-1015380,THE DENVER GAME LOUNGE,1490 N EUDORA ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2018-12-19 00:00:00,2019-10-28 00:00:00,176405.0,1490 N Eudora St,None,Denver,CO,None,5,2,04302,3160253.0,1694878.0
2003-BFN-1005292,BROOKDALE PARKPLACE,111 EMERSON ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2019-01-10 10:23:49,2020-01-15 00:00:00,79049.0,111 N Emerson St,None,Denver,CO,None,7,3,02803,3146850.0,1687153.0
2011-BFN-1056597,BADGERS PUB,76 S BROADWAY ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2019-01-23 16:38:47,2020-02-28 00:00:00,246405.0,76 S Broadway,None,Denver,CO,None,7,3,02802,3144216.0,1685785.0
2016-BFN-0006096,AJINOYA RAMEN,1390 S COLORADO BLVD 120 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-06-14 00:00:00,2019-06-13 00:00:00,536683.0,1390 S Colorado Blvd Ste 120,None,Denver,CO,None,6,3,05103,3157482.0,1677215.0
2018-BFN-0004694,PLATTEFORUM,235 N BROADWAY ,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-07-17 16:36:44,2019-07-17 00:00:00,79834.0,235 N Broadway,None,Denver,CO,None,7,3,02100,3144030.0,1687581.0
2007-BFN-1030469,7-ELEVEN STORE #29108A,4701 PEORIA ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2019-02-19 10:45:00,2020-03-23 00:00:00,176614.0,4701 N Peoria St,None,Denver,CO,None,8,5,04105,3183298.0,1710785.0
2002-BFN-10234,J L CHEERS,3415 S MONACO PKWY,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2019-03-29 13:25:28,2020-03-08 00:00:00,185115.0,3415 S Monaco Street Pkwy,None,Denver,CO,None,4,3,06812,3165241.0,1663770.0
2008-BFN-1031824,SUSHI TRAIN,3460 S LOCUST ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-06-15 09:28:08,2019-06-22 00:00:00,145272.0,3460 S Locust St,None,Denver,CO,None,4,3,06812,3164719.0,1663679.0
2005-BFN-1018004,SPICY THAI,4101 E EVANS AVEUNIT F ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-02-19 11:29:13,2020-02-14 00:00:00,None,None,None,None,None,None,4,3,05300,3157887.0,1672742.0
2012-BFN-1062923,SMASHBURGER #1222,6305 E HAMPDEN AVE UNIT 101 ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2018-11-16 13:26:47,2020-01-03 00:00:00,395220.0,6305 E Hampden Ave Unit 101,None,Denver,CO,None,4,3,06812,3164137.0,1663471.0
2002-BFN-14674,KING SOOPER DIV #35,890 S MONACO PKWY,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2018-06-15 09:19:14,2019-07-08 00:00:00,178538.0,890 S Monaco Street Pkwy,None,Denver,CO,None,5,3,05002,3165524.03,1680769.35
2007-BFN-1025706,DOC'S DISCOUNT LIQUORS,1025 S FEDERAL BLVD,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-07-09 10:40:34,2019-07-29 00:00:00,94269.0,1025 S Federal Blvd,None,Denver,CO,None,3,4,04502,3133544.0,1679429.0
2002-BFN-74029,WINES OFF WYNKOOP,1610 16TH ST,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2018-05-18 12:43:51,2019-06-04 00:00:00,None,None,None,None,None,None,9,6,01701,3140248.0,1699000.0
2002-BFN-89824,EL NOA NOA MEXICAN RESTAURANT,722 SANTA FE DR,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2019-02-20 11:38:26,2020-03-07 00:00:00,182487.0,722 N Santa Fe Dr,None,Denver,CO,None,3,1,01800,3141059.0,1690368.0
2011-BFN-1053573,BONEFISH GRILL #6602,8100 W CRESTLINE AVE UNIT F ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-07-26 08:48:43,2019-08-10 00:00:00,264318.0,8100 W Crestline Ave Unit F,None,Denver,CO,None,2,4,12010,3115312.0,1650210.0
2011-BFN-1055380,CONTINENTAL 10,3635 S MONACO STREET ,LIQUOR - LODGING AND ENTERTAINMENT,LICENSE ISSUED - ACTIVE,2018-10-22 09:54:31,2019-11-29 00:00:00,171519.0,3635 S Monaco Street Pkwy,None,Denver,CO,None,4,3,06809,3164370.0,1662455.0
2001-BFN-16565,KING SOOPERS #56,2727 W EVANS AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2018-08-27 08:19:40,2019-09-15 00:00:00,None,None,None,None,None,None,7,4,05400,3134706.0,1672808.0
2018-BFN-0001477,IRONTON DISTILLERY & CRAFTHOUSE,3636 CHESTNUT PL,LIQUOR - DISTILLERY PUB,LICENSE ISSUED - ACTIVE,2018-08-03 13:16:33,2019-06-19 00:00:00,42202.0,3636 Chestnut Pl,None,Denver,CO,None,9,2,01600,3146605.0,1706814.0
2016-BFN-0004595,GOPUFF,209 N YUMA ,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2018-11-19 08:19:57.000001,2019-11-02 00:00:00,185619.0,209 N Yuma St,None,Denver,CO,None,7,4,01000,3136295.0,1687790.0
2007-BFN-1029520,THE BERKSHIRE,7352 E 29TH AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2019-02-01 10:50:32,2020-02-10 00:00:00,180813.0,7352 E 29th Ave,None,Denver,CO,None,8,5,04105,3168109.0,1701506.0
2001-BFN-6194,SEVENTEETH STREET LIQOURS,2001 E 17TH AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-12-26 15:11:47,2019-12-21 00:00:00,260560.0,2001 E 17th Ave,None,Denver,CO,None,9,6,03102,3150931.0,1696100.0
2017-BFN-0003193,FORESTER LIQUORS LLC,1455 S PEARL ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2017-05-09 00:00:00,2018-05-09 00:00:00,104512.0,1455 S Pearl St,None,Denver,CO,None,7,3,03001,3146125.0,1676741.0
2013-BFN-1069453,7-ELEVEN STORE 36697A,5090 N FEDERAL BLVD,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2019-01-09 13:34:51,2020-02-12 00:00:00,25694.0,5090 N Federal Blvd,None,Denver,CO,None,1,1,00201,3133547.0,1712609.0
2013-BFN-1069224,MODERN MARKET,900 16TH STUNIT A ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2018-12-26 14:46:24,2020-01-27 00:00:00,55228.0,900 16th St,None,Denver,CO,None,9,6,01702,3142232.0,1697202.0
2002-BFN-93636,DANDY DANS,214 S FEDERAL BLVD,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2019-02-01 12:17:53,2020-03-14 00:00:00,None,None,None,None,None,None,7,4,01000,3133723.0,1684831.0
2011-BFN-1057527,SCOOTER LIQUORS,1515 E COLFAX AVE,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2019-03-29 14:34:45,2020-05-21 00:00:00,57712.0,1515 E Colfax Ave,None,Denver,CO,None,9,6,03102,3149268.0,1694961.0
2018-BFN-0004118,WEDONTWASTE INC,1400 LARIMER ST,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-07-03 12:00:53,2019-07-03 00:00:00,55241.0,1400 Larimer St,None,Denver,CO,None,9,6,01701,3140717.0,1697490.0
2012-BFN-1063193,OLD MAJOR,3316 N TEJON  102 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2019-02-01 12:25:17,2020-02-05 00:00:00,392644.0,3316 N Tejon St Unit 102,None,Denver,CO,None,1,1,01102,3137470.0,1703355.0
2019-BFN-0000555,"SUMMER CAMP, LLC",3244 N NAVAJO ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2019-01-22 00:00:00,2020-01-22 00:00:00,458366.0,3244 N Navajo St,None,Denver,CO,None,1,1,01102,3139446.0,1703124.0
2004-BFN-1010421,EVERYDAY STORES,4595 PECOS ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2018-11-16 13:19:02,2019-11-25 00:00:00,None,None,None,None,None,None,1,1,00202,3138607.0,1709333.0
2018-BFN-0008495,TINO'S DELLA RADICE,2955 N ULSTER STUNIT 100 ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2019-02-27 14:49:02,2020-02-05 00:00:00,349700.0,2955 N Ulster St Unit 100,None,Denver,CO,None,8,5,04105,3170200.0,1702002.0
2013-BFN-1066715,SATCHEL'S ON 6TH,1710 E 6TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-08-07 11:57:15,2019-09-05 00:00:00,183530.0,1710 E 6th Ave,None,Denver,CO,None,10,3,03203,3149994.0,1689567.0
