Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
ATHENA ENTERPRISES LLC,MY PLACE,Tavern (city),09/13/18,4710072,1410 VALLEY VIEW DRIVE #190,Delta,CO,81416,"1410 VALLEY VIEW DRIVE #190
Delta, CO 81416
(38.751014, -108.054381)"
MERCURY EVENT CENTER,MERCURY EVENT CENTER,Hotel & Restaurant (city),09/13/18,4710153,3006 WEST 72ND AVENUE,Westminster,CO,80030,"3006 WEST 72ND AVENUE
Westminster, CO 80030
(39.827218, -105.025955)"
STRONGWATER IMP LLC,CHUEY FU'S,Hotel & Restaurant (city),09/12/18,4710171,"2100 16TH STREET, SUITE 145",Denver,CO,80202,"2100 16TH STREET, SUITE 145
Denver, CO 80202
(39.754542, -105.004257)"
MOTHER SALOON LLC,MOTHER'S SALOON,Hotel & Restaurant (city),09/12/18,4709937,601 14TH STREET,Georgetown,CO,80444,"601 14TH STREET
Georgetown, CO 80444
(39.713295, -105.695061)"
D'AMICO ENTERPRISES LLC,GENESEE WINE AND SPIRITS,Liquor Store (county),09/12/18,4710320,"25948 GENESEE TRAIL ROAD, UNIT H",Golden,CO,80401,"25948 GENESEE TRAIL ROAD, UNIT H
Golden, CO 80401
(39.709, -105.294041)"
PESTER MARKETING COMPANY,ALTA #3501,3.2% Beer Off Premises (city),09/12/18,4600888,3213 MAIN STRET,Alamosa,CO,81101,
TU CASA LLC,CROSS CREEK SPORTS BAR,Tavern (city),09/12/18,4710494,106 OAK RIDGE DRIVE UNIT 101,Gypsum,CO,81637,"106 OAK RIDGE DRIVE UNIT 101
Gypsum, CO 81637
(39.645638, -106.94735)"
HIGH COUNTRY BEVERAGE CORPORATION,HIGH COUNTRY BEVERAGE CORPORATION,3.2% Beer Importer,09/12/18,4600890,4200 RONALD REAGAN BLVD,Johnstown,CO,80534,"4200 RONALD REAGAN BLVD
Johnstown, CO 80534
(40.403582, -104.967556)"
J AND L DISTILLING COMPANY,J AND L DISTILLING COMPANY,Wholesale (vinous & spirituous),09/12/18,4710341,"4843 PEARL STREET, UNIT A1, UNIT B1",Boulder,CO,80301,"4843 PEARL STREET, UNIT A1, UNIT B1
Boulder, CO 80301
(40.025474, -105.240428)"
VINTAGE '59 IMPORTS LLC,VINTAGE '59 IMPORTS LLC,Importer (vinous & spirituous),09/12/18,4710285,2800 JENIFER STREET NW,Washington,DC,20015,"2800 JENIFER STREET NW
Washington, DC 20015
(38.958437, -77.057784)"
"ETHEREAL WINE IMPORTS, LLC","ETHEREAL WINE IMPORTS, LLC",Importer (vinous & spirituous),09/12/18,4710290,763 SOUTH IVY STREET,Denver,CO,80224,"763 SOUTH IVY STREET
Denver, CO 80224
(39.70261, -104.920591)"
VIA TOSCANA LLC,VIA TOSCANA,Hotel & Restaurant (city),09/12/18,4710564,356 MCCASLIN BLVD,Louisville,CO,80027,"356 MCCASLIN BLVD
Louisville, CO 80027
(39.950325, -105.16472)"
GRUBBYZ LLC,GRUBBY'Z,Hotel & Restaurant (city),09/12/18,4710353,385 WEST 4TH AVENUE UNIT D,Severance,CO,80550,"385 WEST 4TH AVENUE UNIT D
Severance, CO 80550
(40.522511, -104.858069)"
JACKALOPE RANCH LLC,"EMERGE MODERN SALON, MODERN JOE, LA RECETTE, STELLA COLOR DESIGN",Beer & Wine (city),09/11/18,4710309,2749 SOUTH BROADWAY,Englewood,CO,80113,"2749 SOUTH BROADWAY
Englewood, CO 80113
(39.666763, -104.987668)"
"FRASER VALLEY DISTILLING COMPANY, LLC",FRASER VALLEY DISTILLING,Manufacturer (distillery & rectifier),09/11/18,4710054,410 NORTH ZEREX STREET,Fraser,CO,80442,
"FRASER VALLEY DISTILLING, LLC",FRASER VALLEY DISTILLING,Wholesale (vinous & spirituous),09/11/18,4710055,410 NORTH ZEREX STREET,Fraser,CO,80442,
SYNDICATE BREWING CO. LLC,SYNDICATE BREWING,Manufacturer (brewery),09/11/18,4710185,221 BI WARREN AVENUE,Silverthorne,CO,80497,"221 BI WARREN AVENUE
Silverthorne, CO 80497
(39.628475, -106.075997)"
SYNDICATE BREWING CO. LLC,SYNDICATE BREWING,Wholesale Beer (malt liquor),09/11/18,4710186,221 BI WARREN AVENUE,Silverthorne,CO,80497,"221 BI WARREN AVENUE
Silverthorne, CO 80497
(39.628475, -106.075997)"
DENVER ART GALLERIES INC,SAKS GALLERIES,Art Gallery Permit,09/11/18,4710563,3019 EAST 2ND AVENUE,Denver,CO,80206,"3019 EAST 2ND AVENUE
Denver, CO 80206
(39.719418, -104.951741)"
DENVER SPICE ROOM LLC,SPICE ROOM NEIGHBORHOOD BISTRO,Hotel & Restaurant (city),09/11/18,4709735,3157 WEST 38TH AVENUE,Denver,CO,80211,"3157 WEST 38TH AVENUE
Denver, CO 80211
(39.76937, -105.029087)"
JOY HILL LLC,JOY HILL,Hotel & Restaurant (city),09/11/18,4710131,1229 SOUTH BROADWAY,Denver,CO,80210,"1229 SOUTH BROADWAY
Denver, CO 80210
(39.694153, -104.987555)"
MR. HAO GRILL LLC,MR. HAO GRILL,Hotel & Restaurant (city),09/11/18,4710132,10021 EAST HAMPDEN AVENUE,Denver,CO,80231,"10021 EAST HAMPDEN AVENUE
Denver, CO 80231
(39.653114, -104.87144)"
"CHS HOSPITALITY IV, LLC",CREEK VIEW GRILL,Hotel & Restaurant / Optional (county),09/10/18,4710024,9650 ANTLER CREEK DRIVE,Falcon,CO,80831,"9650 ANTLER CREEK DRIVE
Falcon, CO 80831
(38.97274, -104.597938)"
PESTER MARKETING COMPANY,ALTA #6101,3.2% Beer Off Premises (city),09/10/18,4600821,2105 WEST COLORAOD AVENUE,Colorado Springs,CO,80904,
PESTER MARKETING COMPANY,ALTA #6008,3.2% Beer Off Premises (city),09/10/18,4600822,5050 BOARDWALK DRIVE,Colorado Springs,CO,80919,"5050 BOARDWALK DRIVE
Colorado Springs, CO 80919
(38.904474, -104.863774)"
PESTER MARKETING COMPANY,ALTA #6136,3.2% Beer Off Premises (city),09/10/18,4600823,2775 BRIARGATE BOULEVARD,Colorado Springs,CO,80920,"2775 BRIARGATE BOULEVARD
Colorado Springs, CO 80920
(38.941707, -104.775777)"
PESTER MARKETING COMPANY,ALTA #6009,3.2% Beer Off Premises (city),09/10/18,4600824,3945 PALMER PARK BOULEVARD,Colorado Springs,CO,80909,"3945 PALMER PARK BOULEVARD
Colorado Springs, CO 80909
(38.854357, -104.75315)"
BAD AXE THROWING USA INC,BAD AXE THROWING,Beer & Wine (county),09/10/18,4708900,7338 NORTH WASHINGTON STREET,Denver,CO,80229,"7338 NORTH WASHINGTON STREET
Denver, CO 80229
(39.83162, -104.977937)"
EMERECK LLC,WILLAMETTE MARKET & DELI,Hotel & Restaurant (city),09/10/18,4709484,749 EAST WILLAMETTE AVENUE,Colorado Springs,CO,80903,"749 EAST WILLAMETTE AVENUE
Colorado Springs, CO 80903
(38.841881, -104.810518)"
DSSK COMPANY INC,INTERSTATE 25 LIQUORS,Liquor Store (city),09/10/18,4710208,1001 CAPRICE DRIVE,Castle Rock,CO,80109,"1001 CAPRICE DRIVE
Castle Rock, CO 80109
(39.380478, -104.86388)"
SKY DEVIL GROUP LLC,SKY DEVIL GROUP,Wine Delivery Permit,09/10/18,4710565,4326 BIG RANCH ROAD,Napa,CA,94558,"4326 BIG RANCH ROAD
Napa, CA 94558
(38.360213, -122.311379)"
"CHUMASH CELLARS, LLC",KITA WINES,Wine Delivery Permit,09/10/18,4710566,300 NORTH 12TH STREET UNIT 1A & 2A,Lompoc,CA,93436,"300 NORTH 12TH STREET UNIT 1A &amp; 2A
Lompoc, CA 93436
(34.642822, -120.43589)"
SR TONELLA CELLARS LLC,SR TONELLA CELLARS,Wine Delivery Permit,09/10/18,4710562,4326 BIG RANCH ROAD,Napa,CA,94558,"4326 BIG RANCH ROAD
Napa, CA 94558
(38.360213, -122.311379)"
VINITA USA CO,VINITA USA CO,Importer (vinous & spirituous),09/10/18,4710575,21111 EAST 36TH DRIVE,Englewood,CO,80111,
SCOOTER'S SMOKEHOUSE & GRILL LLC,SCOOTER'S SMOKEHOUSE & GRILL,Tavern (county),09/10/18,4710434,11825 US HIGHWAY 285 SUITES 100-120-130,Conifer,CO,80433,"11825 US HIGHWAY 285 SUITES 100-120-130
Conifer, CO 80433
(39.501781, -105.32476)"
ROCK SOLID RESTAURANTS COLORADO LLC,HOPS N DROPS,Hotel & Restaurant (city),09/10/18,4710276,5820 STETSON HILLS BOULEVARD,Colorado Springs,CO,80922,"5820 STETSON HILLS BOULEVARD
Colorado Springs, CO 80922
(38.910941, -104.717421)"
3G3 LODO LLC,GIORDANO'S,Hotel & Restaurant (city),09/10/18,4710262,"1600 CALIFORNIA STREET, UNIT 4",Denver,CO,80202,"1600 CALIFORNIA STREET, UNIT 4
Denver, CO 80202
(39.745412, -104.991898)"
"ZH RESTAURANT INVESTMENTS 4, LLC",FUZZY'S TACO SHOP,Hotel & Restaurant (city),09/10/18,4710376,7592 SOUTH UNIVERSITY BOULEVARD,Centennial,CO,80122,"7592 SOUTH UNIVERSITY BOULEVARD
Centennial, CO 80122
(39.578299, -104.960354)"
DANOVINO LLC,CANA WINE BAR,Tavern (city),09/10/18,4710333,2554 SOUTH BROADWAY,Denver,CO,80210,"2554 SOUTH BROADWAY
Denver, CO 80210
(39.670232, -104.987527)"
GRAHAMS GRILL 3 LLC,GRAHAMS GRILL 3 LLC,Hotel & Restaurant (city),09/10/18,4710419,2149 JERRY MURPHY,Pueblo,CO,81005,"2149 JERRY MURPHY
Pueblo, CO 81005
(38.30721, -104.598431)"
TAQUERIA JALISCO MEXICAN GRILL,TAQUERIA JALISCO MEXICAN GRILL,Hotel & Restaurant (city),09/10/18,4710471,18581 EAST HAMPDEN AVENUE UNIT 132,Aurora,CO,80013,"18581 EAST HAMPDEN AVENUE UNIT 132
Aurora, CO 80013
(39.653103, -104.77079)"
HISTORIC HOTEL COLORADO LLC,HOTEL COLORADO,Hotel & Restaurant (city),09/10/18,4710492,526 PINE STREET,Glenwood Springs,CO,81601,"526 PINE STREET
Glenwood Springs, CO 81601
(39.550813, -107.324892)"
YARD HOUSE USA INC,YARD HOUSE #8329,Hotel & Restaurant (city),09/10/18,4710504,1555 COURT PLACE,Denver,CO,80202,"1555 COURT PLACE
Denver, CO 80202
(39.742985, -104.989421)"
HILLIARD BRUCE VINEYARDS LLC,HILLIARD BRUCE VINEYARDS LLC,Wine Delivery Permit,09/10/18,4708862,2075 VINEYARD VIEW LANE,Lompoc,CA,93436,
BV PROJECTS LLC,THE LOST CAJUN - BRECKENRIDGE,Hotel & Restaurant (city),09/10/18,4710515,411 SOUTH MAIN STREET UNIT 4,Breckenridge,CO,80424,"411 SOUTH MAIN STREET UNIT 4
Breckenridge, CO 80424
(39.478145, -106.045299)"
COSTCO WHOLESALE CORPORATION,BRANDON A RUIZ,Manager Permit (LLDS),09/07/18,4710446,7164 CAMPHOR LANE,Colorado Springs,CO,80927,"7164 CAMPHOR LANE
Colorado Springs, CO 80927
(38.935488, -104.678309)"
SAM'S WEST INC.,ALLISON WALTERS WHITCOMB,Manager Permit (LLDS),09/07/18,4710453,4638 SHOSHONE DRIVE,Larkspur,CO,80118,"4638 SHOSHONE DRIVE
Larkspur, CO 80118
(39.246206, -104.972733)"
BEAR LLC,BEAR CAVE TAVERN,Tavern (county),09/07/18,4710188,6050 WEST 55 PLACE,Arvada,CO,80002,"6050 WEST 55 PLACE
Arvada, CO 80002
(39.797366, -105.063072)"
SABOR MAZATLAN NO. 2 INC.,SABOR MAZATLAN,Hotel & Restaurant (city),09/07/18,4710401,"282 US HIGHWAY 6, UNIT 19",Dillon,CO,80435,"282 US HIGHWAY 6, UNIT 19
Dillon, CO 80435
(39.628418, -106.064557)"
4 DOGS & A TURTLE LLC,SIPS GRUB & PUB,Hotel & Restaurant (city),09/07/18,4710427,1801 SOUTH COLLEGE AVENUE UNIT D,Fort Collins,CO,80525,"1801 SOUTH COLLEGE AVENUE UNIT D
Fort Collins, CO 80525
(40.563232, -105.077061)"
"STOKED MEETING HOUSE, LLC",STOKED MEETING HOUSE,Beer & Wine (city),09/07/18,4710339,78542 US 40,Winter Park,CO,80482,"78542 US 40
Winter Park, CO 80482
(39.923202, -105.786594)"
PESTER MARKETING COMPANY,ALTA #6150,3.2% Beer Off Premises (city),09/07/18,4600834,946 EAST RAINBOW BOULEVARD,Salida,CO,81201,"946 EAST RAINBOW BOULEVARD
Salida, CO 81201
(38.524085, -105.991408)"
"NOBO ITALIAN, LLC",LUNETTA ITALIAN,Hotel & Restaurant (city),09/06/18,4710080,2785 IRIS AVENUE,Boulder,CO,80304,"2785 IRIS AVENUE
Boulder, CO 80304
(40.036464, -105.259289)"
GRIDDLE ME THIS LLC,CHEF ZORBAS CUISINE INC.,Hotel & Restaurant (city),09/06/18,4710173,2626 EAST 12TH AVENUE,Denver,CO,80206,"2626 EAST 12TH AVENUE
Denver, CO 80206
(39.735153, -104.955467)"
STAMPEDE EVENTS AND ENTERTAINMENT LLC,THE STAMPEDE,Tavern (city),09/06/18,4710293,2430 SOUTH HAVANA STREET,Aurora,CO,80014,"2430 SOUTH HAVANA STREET
Aurora, CO 80014
(39.672249, -104.866006)"
"ARANO, LLC",CVNE,Importer (vinous & spirituous),09/06/18,4710307,"2385 NW EXECUTIVE CENTER DRIVE, SUITE 100",Boca Raton,FL,33431,"2385 NW EXECUTIVE CENTER DRIVE, SUITE 100
Boca Raton, FL 33431
(26.369353, -80.128609)"
"SPRINGS ABC, LLC",THE SPRINGS RESORT AND SPA,Lodging & Entertainment (City),09/06/18,4710323,165 HOT SPRINGS BOULEVARD,Pagosa Springs,CO,81147,"165 HOT SPRINGS BOULEVARD
Pagosa Springs, CO 81147
(37.265786, -107.009582)"
RICHARD M STELTZNER,STELTZNER VINEYARDS,Wine Delivery Permit,09/06/18,4710512,7830-40 SAINT HELENA HIGHWAY,Oakville,CA,94562,"7830-40 SAINT HELENA HIGHWAY
Oakville, CA 94562
(38.435072, -122.401188)"
DAVID WALTER LUCAS,THE LUCAS WINERY,Wine Delivery Permit,09/06/18,4710523,18196 NORTH DAVIS ROAD,Lodi,CA,95242,"18196 NORTH DAVIS ROAD
Lodi, CA 95242
(38.147986, -121.334452)"
CONSTELLATION BRANDS U.S. OPERATIONS INC,WOODBRIDGE WINERY,Wine Delivery Permit,09/06/18,4710524,5950 EAST WOODBRIDGE ROAD,Acampo,CA,95220,"5950 EAST WOODBRIDGE ROAD
Acampo, CA 95220
(38.160074, -121.245515)"
AGATHON HOLDINGS GP LLC,AGATHON HOLDINGS GP LLC,Wine Delivery Permit,09/06/18,4710525,6705 CRISTO LANE,Santa Rosa,CA,95409,
"THE LOCK AGRICULTURAL VENTURES, LLC",ECLUSE,Wine Delivery Permit,09/06/18,4710537,1520 KILER CANYON ROAD,Paso Robles,CA,93446,"1520 KILER CANYON ROAD
Paso Robles, CA 93446
(35.610055, -120.716653)"
BAIT INC,BAIT,Art Gallery Permit,09/05/18,4710521,1962 BLAKE STREET SUITE 100,Denver,CO,80202,"1962 BLAKE STREET SUITE 100
Denver, CO 80202
(39.75415, -104.9945)"
TRIPLE NINE LLC,WELTON ROOM,Tavern (city),09/05/18,4710297,2590 WELTON STREET SUITE 103,Denver,CO,80205,"2590 WELTON STREET SUITE 103
Denver, CO 80205
(39.754017, -104.979058)"
"CASA TEQUILA, LLC",TEQUILA'S,Hotel & Restaurant (county),09/05/18,4710403,64 EL JEBEL ROAD,El Jebel,CO,81623,"64 EL JEBEL ROAD
El Jebel, CO 81623
(39.3946, -107.090076)"
MANHATTAN BAR LLC,MANHATTAN BAR,Tavern (city),09/05/18,4709942,618 HARRISON AVENUE,Leadville,CO,80461,"618 HARRISON AVENUE
Leadville, CO 80461
(39.249433, -106.292188)"
PM FOODS LLC,RAFFS TAVERN,Hotel & Restaurant / Optional (city),09/05/18,4709738,6300 HIGHLAND MEADOWS PARKWAY,Windsor,CO,80550,"6300 HIGHLAND MEADOWS PARKWAY
Windsor, CO 80550
(40.457863, -104.976596)"
DILLON COMPANIES LLC,KING SOOPERS #122 FUEL CENTER,3.2% Beer Off Premises (city),09/05/18,4600801,8080 SOUTH BROADWAY,Littleton,CO,80122,"8080 SOUTH BROADWAY
Littleton, CO 80122
(39.56863, -104.988437)"
"ADITI, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 29508C,3.2% Beer Off Premises (city),09/05/18,4600885,3131 SOUTH BROADWAY,Englewood,CO,80113,"3131 SOUTH BROADWAY
Englewood, CO 80113
(39.659989, -104.987681)"
ROADHOUSE MARKET LLC,ROADHOUSE MARKET,3.2% Beer Off Premises (county),09/05/18,4600853,"123 STATE HIGHWAY 172, UNIT A",Durango,CO,81302,
JV FOOD SHOP INC.,JV FOOD SHOP,3.2% Beer Off Premises (county),09/05/18,4600857,12900 US HIGHWAY 24/285,Buena Vista,CO,81211,"12900 US HIGHWAY 24/285
Buena Vista, CO 81211
(38.812269, -106.107176)"
"ASPEN GROCERY, INC.",CLARK'S MARKET,3.2% Beer Off Premises (city),09/04/18,4600854,300 PUPPY SMITH ROAD,Aspen,CO,81611,"300 PUPPY SMITH ROAD
Aspen, CO 81611
(39.193414, -106.818609)"
PESTER MARKETING COMPANY,ALTA #6141,3.2% Beer Off Premises (city),09/04/18,4600835,11000 HIGHWAY 50,Poncha Springs,CO,81242,
"HIGH ALTITUDE WINE & SPIRITS, INC.",CONIFER VILLAGE LIQUOR,Liquor Store (county),09/04/18,4710269,27182 MAIN STREET #H-100,Conifer,CO,80433,"27182 MAIN STREET #H-100
Conifer, CO 80433
(39.527081, -105.305136)"
GPIF BROWN PALACE HOTEL LLC & MERRITT HOSPITALITY LLC,BROWN PALACE HOTEL,Hotel & Restaurant (city),09/04/18,4710168,321 17TH STREET,Denver,CO,80202,"321 17TH STREET
Denver, CO 80202
(39.743857, -104.988005)"
LAS ISLITAS GRANILLO LLC,MARISCOS LAS ISLITAS,Hotel & Restaurant (city),09/04/18,4710261,1550 SOUTH FEDERAL BOULEVARD SUITE A & B,Denver,CO,80219,"1550 SOUTH FEDERAL BOULEVARD SUITE A &amp; B
Denver, CO 80219
(39.68891, -105.025071)"
CO CEB LLC,SHELTON BROTHERS COLORADO,Importer (malt liquor),09/04/18,4710450,11035 DOVER STREET UNIT 900,Westminster,CO,80021,"11035 DOVER STREET UNIT 900
Westminster, CO 80021
(39.896045, -105.093296)"
"THE NUGGET MOUNTAIN BAR, LLC.",THE NUGGET MOUNTAIN BAR,Tavern (county),09/04/18,4710313,48721 NORTH WAY 550,Durango,CO,81301,"48721 NORTH WAY 550
Durango, CO 81301
(37.618084, -107.812414)"
CITY OF ASPEN & WEBOPS LLC,WHEELER OPERA HOUSE,Tavern (city),08/31/18,4710466,320 EAST HYMAN AVENUE,Aspen,CO,81611,"320 EAST HYMAN AVENUE
Aspen, CO 81611
(39.189149, -106.820073)"
CLUBHOUSE 9 LLC,CB & POTTS CLUBHOUSE AND TAPROOM,Brew Pub (county),08/31/18,4709231,1831 MULBERRY STREET,Fort Collins,CO,80524,"1831 MULBERRY STREET
Fort Collins, CO 80524
(40.580605, -105.043443)"
TWIN LAKES GENERAL STORE & MERCANTILE LLC,TWIN LAKES GENERAL STORE,Liquor Store (county),08/30/18,4710501,6451 HIGHWAY 82,Twin Lakes,CO,81251,"6451 HIGHWAY 82
Twin Lakes, CO 81251
(39.070527, -106.487372)"
PESTER MARKETING COMPANY,ALTA #6133,3.2% Beer Off Premises (city),08/30/18,4600876,123 WEST CRANSTON AVENUE,Fowler,CO,81039,"123 WEST CRANSTON AVENUE
Fowler, CO 81039
(38.130951, -104.024723)"
"DHINDSA3, & 7-ELEVEN, INC.",7-ELEVEN STORE 38107A,3.2% Beer Off Premises (county),08/08/18,4600790,229 GLENEAGLE GATE VIEW,Colorado Springs,CO,80921,
DEBORAH S DUGGAN,GROVER MARKET BASKET,3.2% Beer Off Premises (city),08/30/18,4600878,311 CHATOGA AVENUE,Grover,CO,80729,"311 CHATOGA AVENUE
Grover, CO 80729
(40.867531, -104.226417)"
ZOE'S LOUNGE,ZOE'S,Tavern (city),08/30/18,4710496,2893 SOUTH BROADWAY,Englewood,CO,80113,"2893 SOUTH BROADWAY
Englewood, CO 80113
(39.664214, -104.987661)"
,MIGHTY RIVER BREWING,Manufacturer (brewery),08/30/18,4710410,6383 FAIRGROUNDS AVENUE BUILDING 1 UNIT B,Windsor,CO,80550,
GARAGISTE CELLARS LLC,BURT STREET CELLARS,Importer (vinous & spirituous),08/30/18,4710371,6705 CRISTO LANE,Santa Rosa,CA,95409,
VIOFIN LLC,JAY'S BISTRO,Hotel & Restaurant (city),08/30/18,4710318,135 WEST OAK STREET,Fort Collins,CO,80523,"135 WEST OAK STREET
Fort Collins, CO 80523
(40.585638, -105.078181)"
SILVERWEST-I INVERNESS HW LLC,HOMEWOOD SUITES DENVER TECH CENTER,Hotel & Restaurant (county),08/30/18,4710462,199 INVERNESS DRIVE WEST,Englewood,CO,80112,"199 INVERNESS DRIVE WEST
Englewood, CO 80112
(39.567763, -104.86879)"
MTM ENTERPRISES LP,GRAZIA BEAUTY LOUNGE,Beer & Wine (city),08/30/18,4710386,14694 ORCHARD PARKWAY SUITE 1200,Westminster,CO,80023,"14694 ORCHARD PARKWAY SUITE 1200
Westminster, CO 80023
(39.962897, -104.993603)"
MCCORMICK DISTILLING CO INC,MCCORMICK DISTILLING CO INC,Importer (vinous & spirituous),08/30/18,4708544,1 MCCORMICK LANE,Weston,MO,64098,"1 MCCORMICK LANE
Weston, MO 64098
(39.398691, -94.878488)"
PHASE 2 LLC,MIGHTY RIVER BREWING COMPANY,Wholesale Beer (malt liquor),08/30/18,4709851,6383 FAIRGROUNDS AVENUE BUILDING 1 UNIT B,Windsor,CO,80550,
"1876 ALE WORKS, LLC",1876 ALE WORKS,Manufacturer (brewery),08/30/18,4709956,3352 TEMPLETON GAP ROAD,Colorado Springs,CO,80907,"3352 TEMPLETON GAP ROAD
Colorado Springs, CO 80907
(38.87958, -104.792157)"
"1876 ALE WORKS, LLC",1876 ALE WORKS,Wholesale Beer (malt liquor),08/30/18,4709957,3352 TEMPLETON GAP ROAD,Colorado Springs,CO,80907,"3352 TEMPLETON GAP ROAD
Colorado Springs, CO 80907
(38.87958, -104.792157)"
BEST PIZZA LLC,MOD PIZZA,Beer & Wine (city),08/29/18,4710383,9515 RALSTON ROAD SUITE 100,Arvada,CO,80002,"9515 RALSTON ROAD SUITE 100
Arvada, CO 80002
(39.80206, -105.103726)"
M & J LLC,ARTISAN 206,Hotel & Restaurant (city),08/29/18,4710514,206 NORTH MAIN STREET,Breckenridge,CO,80424,"206 NORTH MAIN STREET
Breckenridge, CO 80424
(39.484047, -106.046179)"
"MILES SPORTS PUB, INC.",MILES SPORTS PUB & GRUB,Hotel & Restaurant (city),08/29/18,4710277,328 MCCASLIN BOULEVARD,Louisville,CO,80027,"328 MCCASLIN BOULEVARD
Louisville, CO 80027
(39.951181, -105.164927)"
"FACILITY CONCESSIONS SERVICES, INC.",SPECTRUM CATERING AND CONCESSIONS,Lodging & Entertainment (City),08/29/18,4710296,1801 SOUTH HURON STREET,Denver,CO,80223,"1801 SOUTH HURON STREET
Denver, CO 80223
(39.681995, -104.997183)"
RF WINES LLC,PUMA ROAD,Wine Delivery Permit,08/29/18,4710508,32720 RIVER ROAD,Gonzales,CA,93926,"32720 RIVER ROAD
Gonzales, CA 93926
(36.461543, -121.452609)"
PWG LLC,PESSAGNO WINERY,Wine Delivery Permit,08/29/18,4710509,1645 RIVER ROAD,Salinas,CA,93908,"1645 RIVER ROAD
Salinas, CA 93908
(36.481929, -121.487075)"
TWISTED ROOTS WINE LLC,TWISTED ROOTS,Wine Delivery Permit,08/29/18,4710510,2 W LOCKEFORD STREET,Lodi,CA,95240,"2 W LOCKEFORD STREET
Lodi, CA 95240
(38.137789, -121.272355)"
"QUIZ DIA HOLDINGS, LLC",THE BLUE SKY BAR,Hotel & Restaurant (city),08/29/18,4710109,"8700 PENA BOULEVARD, CONCOURSE A AC25",Denver,CO,80249,"8700 PENA BOULEVARD, CONCOURSE A AC25
Denver, CO 80249
(39.851522, -104.668678)"
PESTER MARKETING COMPANY,ALTA CONVENIENCE 6326,3.2% Beer Off Premises (county),08/28/18,4600832,3095 EAST US HIGHWAY 50,Canon City,CO,81212,"3095 EAST US HIGHWAY 50
Canon City, CO 81212
(38.447079, -105.194)"
PARKER FOOD + GAS INC.,PARKER FOOD + GAS,3.2% Beer Off Premises (city),08/28/18,4600803,3116 SOUTH PARKER ROAD,Aurora,CO,80014,"3116 SOUTH PARKER ROAD
Aurora, CO 80014
(39.659762, -104.852146)"
"TRANG & MONA, LLC",LTM LIQUORS,Liquor Store (city),08/28/18,4710281,6790 SHERIDAN BOULEVARD UNIT B,Arvada,CO,80003,"6790 SHERIDAN BOULEVARD UNIT B
Arvada, CO 80003
(39.819478, -105.053218)"
